shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
157,6.832871531793486,1,152,-0.02038808114366475,-0.02068395553317152,-0.016699824166497183
158,6.858902806031287,1,20,-0.04817100430136634,-0.048261841573626216,-0.014223121604108834
159,6.885603544754827,1,10,0.1432814876984594,0.14341645518662724,0.029900583468378403
160,6.888273727709581,1,908,-0.040543272582908685,-0.044331427710844286,-0.08426424114464817
161,6.912992194075853,1,676,-0.05240605009930732,-0.055966501345545046,-0.09287808901887644
162,6.91573629773957,1,18,0.016740134587507782,0.01676853979094367,0.004688657163465059
163,6.923548404980591,1,864,-0.008997619439924165,-0.00979396683014885,-0.01820057572830746
164,6.927924885452114,1,52,-0.1849654989168812,-0.18587510795470744,-0.08819476002660406
165,6.931283999001242,1,280,-0.039501554730122734,-0.04057060898743294,-0.044185218170268784
166,6.935927241274299,1,264,0.06528402554749846,0.0669473128199019,0.07085281855372388
167,6.940966032094938,1,646,-0.030050110587126255,-0.03199523798723341,-0.05198368936026931
