 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
       236         8  0.232215E+00      0.0000      0.0000
       237         8  0.281141E+00      0.0000      0.0000
       238         8  0.305699E+00      0.0000      0.0000
       239         8  0.244640E+00      0.0000      0.0000
       240         8  0.267204E+00      0.0000      0.0000
       241         8  0.317875E+00      0.0000      0.0000
       242         8  0.366626E+00      0.0000      0.0000
       243         8  0.160308E+00      0.0003      0.0000
       244         8  0.114389E+00      0.0016      0.0002
       245         8  0.163779E+00      0.0002      0.0000
       246         8  0.236132E+00      0.0000      0.0000
       247         8  0.124845E+00      0.0010      0.0001
       248         8  0.175154E+00      0.0001      0.0000
       249         8  0.272135E+00      0.0000      0.0000
       250         8  0.174154E+00      0.0002      0.0000
       251         8  0.201275E+00      0.0001      0.0000
       252         8  0.195317E+00      0.0001      0.0000
       253         8  0.404828E+00      0.0000      0.0000


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.148417E+00      0.0035      0.0004
         2         8  0.481465E-01      0.0113      0.0014
         3         8  0.472006E-01      0.0114      0.0014
         4         8  0.162342E+00      0.0030      0.0004
         5         8  0.128722E+00      0.0044      0.0006
         6         8  0.556454E-02      0.0185      0.0023
         7         8  0.579530E-01      0.0100      0.0013
         8         8  0.253056E+00      0.0010      0.0001
         9         8  0.112235E+00      0.0054      0.0007
        10         8  0.232223E+00      0.0013      0.0002
        11         8  0.264140E+00      0.0009      0.0001
        12         8  0.917766E-01      0.0068      0.0008
        13         8  0.875877E-01      0.0071      0.0009
        14         8  0.166819E+00      0.0028      0.0004
        15         8  0.130035E+00      0.0044      0.0005
        16         8  0.107218E+00      0.0057      0.0007
        17         8  0.702847E-01      0.0087      0.0011
        18         8  0.119212E+00      0.0049      0.0006
        19         8  0.123159E+00      0.0047      0.0006
        20         8  0.893717E-01      0.0070      0.0009
        21         8  0.103239E+00      0.0059      0.0007
        22         8  0.938593E-01      0.0066      0.0008
        23         8  0.208721E+00      0.0017      0.0002
        24         8  0.146172E+00      0.0036      0.0005
        25         8  0.101888E+00      0.0060      0.0008
        26         8  0.813319E-01      0.0077      0.0010
        27         8  0.957418E-01      0.0065      0.0008
        28         8  0.233649E+00      0.0013      0.0002
        29         8  0.180861E+00      0.0024      0.0003
        30         8  0.124450E+00      0.0046      0.0006
        31         8  0.848924E-01      0.0073      0.0009
        32         8  0.560227E-01      0.0103      0.0013
        33         8  0.161967E+00      0.0030      0.0004
        34         8  0.352186E-01      0.0131      0.0016
        35         8  0.915132E-01      0.0068      0.0009
        36         8  0.262662E+00      0.0009      0.0001
        37         8  0.898053E-01      0.0069      0.0009
        38         8  0.000000E+00      0.0197      0.0025
        39         8  0.111096E+00      0.0054      0.0007
        40         8  0.115457E+00      0.0052      0.0006
        41         8  0.839309E-01      0.0074      0.0009
        42         8  0.730506E-01      0.0084      0.0011
        43         8  0.328646E-01      0.0134      0.0017
        44         8  0.277706E+00      0.0008      0.0001
        45         8  0.293817E+00      0.0007      0.0001
        46         8  0.225485E+00      0.0014      0.0002
        47         8  0.133049E+00      0.0042      0.0005
        48         8  0.166981E+00      0.0028      0.0004
        49         8  0.132991E+00      0.0042      0.0005
        50         8  0.159243E+00      0.0031      0.0004
        51         8  0.784003E-01      0.0079      0.0010
        52         8  0.739454E-01      0.0083      0.0010
        53         8  0.101015E+00      0.0061      0.0008
        54         8  0.124886E+00      0.0046      0.0006
        55         8  0.810349E-01      0.0077      0.0010
        56         8  0.205142E-01      0.0155      0.0019
        57         8  0.891694E-01      0.0070      0.0009
        58         8  0.406683E-01      0.0123      0.0015
        59         8  0.370322E-01      0.0128      0.0016
        60         8  0.154744E+00      0.0033      0.0004
        61         8  0.467497E-01      0.0114      0.0014
        62         8  0.149257E-01      0.0166      0.0021
        63         8  0.127478E+00      0.0045      0.0006
        64         8  0.108041E+00      0.0056      0.0007
        65         8  0.656355E-01      0.0092      0.0011
        66         8  0.177480E+00      0.0025      0.0003
        67         8  0.155752E+00      0.0032      0.0004
        68         8  0.216508E+00      0.0016      0.0002
        69         8  0.290559E-01      0.0140      0.0018
        70         8  0.728036E-01      0.0085      0.0011
        71         8  0.235446E+00      0.0013      0.0002
        72         8  0.223507E+00      0.0015      0.0002
        73         8  0.219840E+00      0.0015      0.0002
        74         8  0.386544E+00      0.0002      0.0000
        75         8  0.121803E+00      0.0048      0.0006
        76         8  0.153887E+00      0.0033      0.0004
        77         8  0.209846E+00      0.0017      0.0002
        78         8  0.881372E-01      0.0071      0.0009
